2025-12-13 18:28:31 | INFO | train_base_models | 🚀 Starting STRIKE base model training for LendingClub
2025-12-13 18:28:32 | INFO | train_base_models | Loaded processed_train.csv: (180488, 142)
2025-12-13 18:28:32 | INFO | train_base_models | 
==================== Group: Loan_Terms ====================
2025-12-13 18:28:32 | INFO | train_base_models | [Loan_Terms] X shape: (180488, 8), y shape: (180488,)
2025-12-13 18:28:32 | INFO | train_base_models | [Loan_Terms] ▶ Training model: XGBoost
2025-12-13 18:28:32 | INFO | train_base_models | [Loan_Terms] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_XGBoost_fold1.pkl
2025-12-13 18:28:33 | INFO | train_base_models | [Loan_Terms] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_XGBoost_fold2.pkl
2025-12-13 18:28:33 | INFO | train_base_models | [Loan_Terms] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_XGBoost_fold3.pkl
2025-12-13 18:28:33 | INFO | train_base_models | [Loan_Terms] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_XGBoost_fold4.pkl
2025-12-13 18:28:34 | INFO | train_base_models | [Loan_Terms] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_XGBoost_fold5.pkl
2025-12-13 18:28:34 | INFO | train_base_models | [Loan_Terms] [XGBoost] FINAL OOF AUC = 0.7006
2025-12-13 18:28:34 | INFO | train_base_models | [Loan_Terms] ▶ Training model: GBDT
2025-12-13 18:28:53 | INFO | train_base_models | [Loan_Terms] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_GBDT_fold1.pkl
2025-12-13 18:29:14 | INFO | train_base_models | [Loan_Terms] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_GBDT_fold2.pkl
2025-12-13 18:29:36 | INFO | train_base_models | [Loan_Terms] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_GBDT_fold3.pkl
2025-12-13 18:29:57 | INFO | train_base_models | [Loan_Terms] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_GBDT_fold4.pkl
2025-12-13 18:30:18 | INFO | train_base_models | [Loan_Terms] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_GBDT_fold5.pkl
2025-12-13 18:30:18 | INFO | train_base_models | [Loan_Terms] [GBDT] FINAL OOF AUC = 0.6967
2025-12-13 18:30:18 | INFO | train_base_models | [Loan_Terms] ▶ Training model: AdaBoost
2025-12-13 18:30:28 | INFO | train_base_models | [Loan_Terms] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_AdaBoost_fold1.pkl
2025-12-13 18:30:38 | INFO | train_base_models | [Loan_Terms] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_AdaBoost_fold2.pkl
2025-12-13 18:30:48 | INFO | train_base_models | [Loan_Terms] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_AdaBoost_fold3.pkl
2025-12-13 18:30:58 | INFO | train_base_models | [Loan_Terms] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_AdaBoost_fold4.pkl
2025-12-13 18:31:08 | INFO | train_base_models | [Loan_Terms] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_AdaBoost_fold5.pkl
2025-12-13 18:31:08 | INFO | train_base_models | [Loan_Terms] [AdaBoost] FINAL OOF AUC = 0.6764
2025-12-13 18:31:08 | INFO | train_base_models | [Loan_Terms] ▶ Training model: RandomForest
2025-12-13 18:31:11 | INFO | train_base_models | [Loan_Terms] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_RandomForest_fold1.pkl
2025-12-13 18:31:13 | INFO | train_base_models | [Loan_Terms] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Loan_Terms_RandomForest_fold2.pkl
